item_name,descriptor,notes 
"Allspice, Ground",,
"Allspice, Whole",,
"Anise, Ground",,
"Anise, Whole Seeds",,
"Basil, Dried",,
"Basil, Fresh",,
Bay Leaves,,
Black pepper,,
Canola Oil,,
"Caraway, Ground",,
"Caraway, Seeds",,
"Cardamom, Ground",,
"Cardamom, Seeds",,
Cayenne Pepper,,
Celery Salt,,
"Celery, Ground",,
"Celery, Seed",,
Chili oil,,
Chili Powder,,
Chilves,,
"Cilantro, Fresh",,
"Cinnamon, Ground",,
"Cinnamon, Stick",,
"Cloves, Ground",,
Cocktail Sauce,,
Corriander,,
Cream of Tatar,,
Crisco,,
"Cumin, Ground",,
Curry Powder,,
"Curry, Paste, Green",,
"Curry, Paste, Red",,
"Dill, Dried",,
"Dill, Fresh",,
"Fennel, Ground",,
"Fennel, Seed",,
Fish Sauce,,
Flax Oil,,
Garlic Cloves,,
"Garlic, Ground",,
Ginger Root,,
"Ginger, Ground",,
Lard,,
"Mint, Dried",,
"Mint, Fresh",,
Miso Paste,,
"Mustard, Ground",,
"Mustard, Seed",,
"Nutmeg, Ground",,
"Nutmeg, Whole",,
Olive Oil,,
"Oregano, Dried",,
"Oregano, Fresh",,
Paprika,,
"Parsley, Dried",,
"Parsley, Fresh",,
Poppy Seeds,,
"Red Pepper, Crushed ",,
"Red Pepper, Flakes",,
"Rosemary, Dried",,
"Rosemary, Fresh",,
Saffron,,
"Sage, Dried",,
"Sage, Fresh",,
Salt,,
Seseme Oil,,
"Star Anise, Whole",,
Sunflower Oil,,
"Tarragon, Dried",,
"Tarragon, Fresh",,
"Thyme, Dried",,
"Thyme, Fresh",,
"Turmeric, Dried",,
"Vanilla, Extract",,
"Vanilla, Pod",,
Vegitable Oil,,
